arquivo,loc,lloc,sloc,comments,multi,blank,single_comments
sample_factory/__init__.py,0,0,0,0,0,0,0
sample_factory/algo/__init__.py,0,0,0,0,0,0,0
sample_factory/algo/evaluators/default_evaluator.py,0,0,0,0,0,0,0
sample_factory/algo/evaluators/__init__.py,0,0,0,0,0,0,0
sample_factory/algo/learning/__init__.py,0,0,0,0,0,0,0
sample_factory/algo/runners/__init__.py,0,0,0,0,0,0,0
sample_factory/algo/sampling/__init__.py,0,0,0,0,0,0,0
sample_factory/algo/utils/__init__.py,0,0,0,0,0,0,0
sample_factory/algo/utils/spaces/__init__.py,0,0,0,0,0,0,0
sample_factory/cfg/__init__.py,0,0,0,0,0,0,0
sample_factory/envs/__init__.py,0,0,0,0,0,0,0
sample_factory/huggingface/__init__.py,0,0,0,0,0,0,0
sample_factory/launcher/__init__.py,0,0,0,0,0,0,0
sample_factory/model/__init__.py,0,0,0,0,0,0,0
sample_factory/pbt/__init__.py,0,0,0,0,0,0,0
sample_factory/utils/__init__.py,0,0,0,0,0,0,0
sample_factory/utils/algo_version.py,3,1,1,2,0,0,2
sample_factory/cfg/configurable.py,6,5,4,0,0,2,0
sample_factory/launcher/launcher_utils.py,6,4,4,0,0,2,0
sample_factory/utils/attr_dict.py,8,7,7,0,0,1,0
sample_factory/algo/utils/spaces/discretized.py,14,10,10,1,0,4,0
sample_factory/utils/network.py,15,12,12,0,0,3,0
sample_factory/model/utils.py,17,13,13,0,0,4,0
sample_factory/algo/sampling/stats.py,31,18,15,0,5,9,2
sample_factory/utils/typing.py,31,18,18,2,0,11,2
sample_factory/algo/runners/runner_serial.py,27,20,20,1,0,6,1
sample_factory/algo/utils/heartbeat.py,35,24,21,1,4,10,0
sample_factory/huggingface/load_from_hub.py,27,10,21,0,0,6,0
sample_factory/algo/utils/context.py,50,26,23,0,12,15,0
sample_factory/model/decoder.py,35,25,24,0,0,11,0
sample_factory/utils/decay.py,47,25,24,2,11,10,2
sample_factory/train.py,41,25,25,4,0,12,4
sample_factory/envs/create_env.py,46,22,26,0,9,11,0
sample_factory/algo/utils/misc.py,44,29,27,2,0,15,2
sample_factory/algo/utils/multiprocessing_utils.py,41,28,28,0,0,13,0
sample_factory/model/model_factory.py,60,38,29,3,19,9,3
sample_factory/utils/get_available_gpus.py,42,23,30,0,0,12,0
sample_factory/algo/utils/tensor_utils.py,47,33,33,0,0,14,0
sample_factory/algo/utils/agent_policy_mapping.py,62,34,35,7,7,15,5
sample_factory/utils/gifs.py,41,18,39,0,0,2,0
sample_factory/utils/normalize.py,76,44,43,8,9,20,4
sample_factory/algo/sampling/sampling_utils.py,70,47,44,4,4,19,3
sample_factory/algo/utils/torch_utils.py,66,45,44,2,0,19,3
sample_factory/launcher/run_ngc.py,72,41,47,0,4,21,0
sample_factory/model/action_parameterization.py,76,42,48,4,4,18,6
sample_factory/algo/runners/runner_parallel.py,65,47,50,0,0,15,0
sample_factory/model/model_utils.py,72,51,50,1,0,20,2
sample_factory/algo/sampling/sync_sampling_api.py,65,48,51,3,0,12,2
sample_factory/utils/wandb_utils.py,72,34,51,2,4,15,2
sample_factory/envs/pettingzoo_envs.py,79,55,52,0,3,22,2
sample_factory/huggingface/push_to_hub.py,61,27,52,0,0,9,0
sample_factory/utils/gpu_utils.py,90,49,58,4,9,19,4
sample_factory/launcher/run.py,77,48,60,1,0,16,1
sample_factory/model/core.py,86,62,61,2,0,23,2
sample_factory/utils/dicts.py,103,66,62,0,14,26,1
sample_factory/algo/utils/rl_utils.py,110,67,65,9,7,33,5
sample_factory/algo/learning/rnn_utils.py,158,69,67,27,28,37,26
sample_factory/utils/tb.py,91,57,70,1,4,16,1
sample_factory/algo/utils/gymnasium_utils.py,128,52,72,11,21,27,8
sample_factory/envs/env_utils.py,142,81,72,3,27,38,5
sample_factory/eval.py,119,87,87,7,0,25,7
sample_factory/algo/utils/env_info.py,134,92,98,9,0,31,5
sample_factory/launcher/run_processes.py,142,93,105,2,0,35,2
sample_factory/algo/utils/model_sharing.py,162,108,107,2,12,40,3
sample_factory/algo/utils/tensor_dict.py,156,107,111,7,7,31,7
sample_factory/launcher/run_slurm.py,148,76,111,1,4,33,0
sample_factory/algo/learning/learner_worker.py,164,123,117,5,0,42,5
sample_factory/algo/utils/running_mean_std.py,152,110,117,5,5,24,6
sample_factory/utils/timing.py,161,123,117,3,0,41,3
sample_factory/huggingface/huggingface_utils.py,146,64,118,0,0,28,0
sample_factory/launcher/run_description.py,187,123,119,5,14,43,11
sample_factory/algo/utils/optimizers.py,189,116,134,6,9,40,6
sample_factory/export_onnx.py,194,133,136,15,5,40,13
sample_factory/algo/utils/shared_buffers.py,239,145,162,30,0,52,25
sample_factory/model/encoder.py,242,160,164,11,9,61,8
sample_factory/algo/learning/batcher.py,271,188,186,20,6,61,18
sample_factory/algo/sampling/rollout_worker.py,308,173,189,39,16,61,42
sample_factory/cfg/arguments.py,295,153,195,13,26,59,15
